Periodo,Caña_de_Azúcar,Café,Algodón_Rama,Uva,Aceituna,Cacao,Té,Palma_Aceitera,Achiote,Orégano,Arroz_Cáscara,Maíz_Amarillo_Duro,Maíz_Amilaceo,Trigo,Cebada_Grano,Quinua,Avena_Grano,Maíz_Morado,Papa,Yuca,Camote,Oca,Olluco,Maca,Mashua_o_Izaño,Alfalfa,Plátano,Limón,Naranja,Manzana,Mango,Piña,Papaya,Mandarina,Palta,Melocotón,Tuna,Sandía,Tangelo,Chirimoya,Lúcuma,Pacae,Melon,Marácuya,Fresa,Granadilla,Pecana,Espárrago,Maíz_Choclo,Tomate,Ajo,Cebolla,Cebolla China,Zapallo,Pimiento_Morrón,Piquillo,Zanahoria,Páprika,Alcachofa,Rocoto,Ají,Frijol_Grano_Seco,Arveja_Grano_Verde,Arveja_Grano_Seco,Haba_Grano_Verde,Haba_Grano_Seco,Pallar_Grano_Seco,Frijol_Caupi_Grano_Seco,Lenteja_Grano_Seco,Chocho_o_tarhui,Garbanzo_Grano_Seco,Ave,Ovino,Porcino,Vacuno,Caprino,Alpaca,Llama,Huevos,Leche_fresca,Fibra_Alpaca,Fibra_Llama,Lana
201201,822.6,0.9,6.3,41.4,0,3.2,0.3,36.2,0,0.4,244.1,103.2,0.4,0.1,0,0.3,0,1.4,206,91.6,20.3,0,5,0,0,553.3,178.2,19.8,24.5,11.8,55.9,43.9,8.8,5.3,12.8,2.7,11.3,14.4,2.2,0.3,1,5,1.5,5.3,3.3,1.6,0,26,31,38.5,3.4,46,1.7,12.2,4,7.8,12.3,5.1,3.5,1,3.4,2.7,7.3,0,4.4,0,0.1,0.8,0,0,0,117.7,6.2,13.4,27.1,1.2,1.5,0.6,25.9,146.3,0.3,0.1,0.8
201202,734.7,6,10.6,50.7,0,3.7,0.8,36.2,0,0.5,130.9,114.6,1.7,0.1,0,0.1,0,1.9,251.8,83.5,16.9,0,5.5,0,0,590,173.6,24.2,21.2,15.5,39.8,37.1,9.4,6.6,14.2,6.1,19.8,11,2.9,1.1,2.3,11.1,1.9,5.3,1.9,2,0,26.3,34.6,26,2.8,39,2.1,18.7,2,0,10.9,4.1,3,1,5.3,1.9,12.8,0.1,9.4,0,0,0.6,0,0,0,117.9,6.8,13.1,28.4,1.2,1.9,0.7,25.7,148.6,0.9,0.1,3.4
201203,808.7,21.4,4.6,51.5,5.3,3.9,0.4,34.6,0,0.5,201.3,95.3,1.6,0.2,0.3,0.3,0,2.6,350.1,80.5,19.2,1,9.7,0,0.2,689,168.9,27,23.4,18,23.1,35.1,9.4,15.7,26.2,11,23.4,10.8,6.2,2.1,3.8,7,1.7,5.1,1.3,2.4,0,30.8,52,17.2,3.2,44.7,1.9,21.7,1.1,2.9,15.1,6.2,3.9,1.1,4.8,1.8,14.4,0.1,12.7,0.2,0,0.4,0,0.3,0,114.7,7.6,13.3,30.4,1.4,2.1,0.8,25.7,161.6,0.7,0.1,3.2
201204,690.6,54.4,27,41.1,33.3,5.3,0.4,36.9,0,2.2,262.6,78.5,20.2,0.8,9.2,23.1,1.9,3,775.8,89.6,20.1,23.6,28.2,0,5.1,706.3,172.4,27.3,32.9,18.8,7.8,34.3,10.5,28.4,33.2,2.6,11.3,5.6,8.9,4,2.9,5.2,1.6,5.1,0.6,3.2,0.1,25.6,69.3,9.9,2.9,57.3,1.6,18.6,2.3,3,14.4,7.1,2.5,1.3,6.1,4.9,16.7,0.7,13.4,6,0,2.4,0,0,0,110.7,8.6,13.6,33.1,1.4,2.7,0.9,25.7,165.4,0.1,0,0.6
201205,684.8,79.4,26.7,10.6,27.6,7.8,0.2,42.3,0,1.4,526.6,119,88.3,10.2,29.3,12.5,4.3,1.7,1023.1,102.9,19.7,39.8,62.5,0.2,15.1,616.5,174.4,25.4,43.7,13.1,3.4,31.8,11.2,39.9,42.4,1.4,5,2.5,8,3.5,1.7,4.4,1.3,4.3,0.3,3.5,0.7,25.5,37.9,13.7,3.8,54.2,2,16,2.4,0,15.3,7.2,2.5,1.3,3.8,14.8,11.7,7.9,8.9,21.9,0.1,16,0.1,2.3,0,120.6,9.1,14.3,33.5,1.5,2.8,1,25.8,163.9,0.1,0,0.5
201206,673.3,76.8,19.1,3.6,17.1,8.5,0.2,40.2,0.1,0.7,597.6,153.7,91.1,47.1,58.5,5.2,4,0.9,578.2,103.1,23.7,21.3,45.3,4.4,9.8,523.3,174,20.5,57.4,12.7,0.1,28.8,10.5,44.3,39.8,1.8,1.8,3.9,11.1,2,0.8,1.3,1.4,3.8,0.5,3.3,0.9,25.2,18.4,13.1,3.1,58.4,2,17.8,2.9,0.9,15.8,4.7,3.5,1.1,5.6,15.7,12.8,9.7,4,25.2,0.2,1.6,0.9,2.1,0,115,9.3,14.1,33,1.5,2.8,1,25.9,156.2,0,0,0.2
201207,833.7,45.9,10.5,3.9,5.4,7.3,0.2,40.8,0.9,0.5,350.1,145.7,53.8,77.4,81,2.1,3,0.7,240,93.1,30,5.5,15.8,8.6,1.2,461.3,171.6,15,69.7,9.8,0.1,26.4,10.7,38.9,30.5,2.7,0.4,3.8,24.8,1.4,0.6,0.4,1.2,3.4,1.1,2.8,0.4,22.3,16.1,12.3,3,83.5,1.8,15.5,2,0,15.9,3.1,6.5,1,4.8,15.7,9.4,9.4,2.6,16.4,0.2,0.9,1.8,1.2,0,123.2,9.1,14.6,32.9,1.5,2.9,1,26,151.7,0,0,0.2
201208,1026.4,22.3,1.2,3.9,3.8,5.2,0.1,42.4,1.6,0.3,93.8,109,17.8,48.3,27.8,0.3,0.2,0.9,155.2,88.8,22.2,1.1,3,5.2,0.1,479.2,168.9,11.6,40.6,9.5,0.1,26,10.1,31.2,18.7,4,0.3,4.4,9.9,0.5,0.2,0.3,1.5,4.1,1.3,2.2,0.3,24.6,18,12.2,3.8,110.2,2.2,36.1,1.1,0,18.7,2.7,16.9,1,2.7,15.8,9.6,8.7,2.1,3.1,2.5,1.7,0.9,1.2,0,123.1,8.2,13.9,30.8,1.4,2.5,0.9,26.2,145,0,0,0.1
201209,1042.7,8.1,2.8,3.6,0,4.2,0.1,47,1.8,0.3,100.6,96.6,3.9,19.7,7,0.1,0,1.2,181.3,88.5,23.2,0.4,1.4,0.5,0,481.9,170.1,9.9,29.3,10.1,2,31.5,9.8,28.6,9.5,5.9,0.2,5.9,2.5,0.2,0.1,1,2.1,3.7,2.7,2.4,0,34.2,25.8,11.6,5.8,60,2.2,15.1,2.1,7.4,16.7,0.8,29.5,1.4,2.4,8.4,8.9,7.9,1.8,0.6,4,2.8,0.1,1.8,0.3,120.6,7.7,13.7,30,1.3,2.2,0.8,26.3,138.4,0,0,0.1
201210,1018.7,3.6,1.6,32.3,0,4.3,0.1,54.3,0.5,0.8,138.8,101.3,0.7,7.2,0.7,0.1,0,1.3,189,92.2,23.4,0.1,0.6,0,0,499,174.3,12.2,29.2,10.3,6.6,44.1,10.7,18.3,12.5,4.6,0.4,9.7,1.2,0.3,0.1,1.2,1.8,2.6,4.4,2.4,0,47.5,21.5,13.2,11.2,82.3,2.1,11.6,10.2,3.4,15.3,2.5,36.1,1.3,2.1,5.2,4.3,4.8,1.3,0.1,1.5,3.7,0,2.1,0.8,122.9,6.9,13.8,28.5,1.1,2,0.7,26.5,138.5,0.1,0,0.1
